"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M120T577",120.090274623627,120.090199083703,120.092757187619,576.679,561.841,588.662,27,24,5135745.61902475,298843.957890068,1372398.5253458,1357787.82692813,29862135.0599255,4383069.49430906,7961167.24782026,1312051.06018594,3592608.09571335,1509150.9615091,1061314.95940081,1533571.8159588,22413791.1946869,1829111.98570758,5734595.96396014,1012293.32854271,345228.844917693,1081961.0754821,1108915.5837144,22500924.7101676,17929980.3999936,8050045.09723123,4385720.21521055,278451.508041015,3036361.66252714,4176795.39884943,256073.267308652,4816409.25912499,2032907.50150532
"M121T467",121.039467779378,121.039369280982,121.039567551539,467.134,464.597,469.094,20,20,31486.943230624,1478897.23978776,2156175.01458333,181316.761585405,446603.722026942,366905.112788818,181457.111559649,1391664.20255822,315660.802109867,1991362.99265625,814355.151608499,147324.231131417,1178971.19414492,559683.237927659,104489.858070301,1736452.48624566,397494.683265625,855296.187581297,1054971.1606582,529608.442515191,400741.817756727,390147.180820312,289238.906766493,1353513.0549502,149565.430017799,23826.8720324172,314446.087990488,249020.049133261,470941.496006611
"M121T489_1",121.064612679783,121.064462470371,121.06463783394,488.957,485.449,504.356,16,16,1458602.97330729,7189114.69046241,279359.744224608,310264.630615057,271866.226959229,311071.217228816,487358.724316407,232159.281086371,13250801.268297,24752622.737375,15456144.3650872,408993.557627495,14793740.9573886,299307.455540625,923236.880699435,15768296.6589174,14970018.333724,10653853.7608608,244039.659169923,17029785.386889,14738495.5929987,8964007.76810116,674268.247203127,225896.081277901,228128.260307618,564108.063652735,67652.5244258429,5825942.65913963,229483.209553486
"M121T664",121.068797605987,121.068581052019,121.068968932069,663.7125,660.431,667.663,28,28,11138697.1695656,2847181.20970851,3798915.58441188,5479256.2530289,6163401.48799156,3217425.56494336,5625216.46306516,3167629.43308985,6713490.92793749,14271101.9009089,5900633.91365237,6777356.54623067,6610520.36388282,3741424.4143719,12918364.5550847,4995828.11440528,8609522.50641599,6470011.50772493,7132162.27876892,10166332.6490314,8525925.07033441,4198955.37970398,20443787.7187459,6235257.50087157,10798661.1422894,12678175.1871568,109079.182531786,2198127.19595752,3269982.55260935
"M121T742",121.068197399823,121.068117664942,121.068279222972,742.144,729.349,746.049,21,21,155960.076785702,1120670.93240412,582730449.47677,716167.412576368,1827270.40080491,266410.958123922,314674.783595423,531709653.628353,989960.206056815,22260351.2430596,629428270.784441,867848.718673561,2519791.52042343,343865.154141498,460113.421149325,448585587.830582,2351700.18114507,810590.552930546,514633118.153952,2608085.97575626,1669958.52787761,365259.089256446,320017.837273852,459276556.462209,1295628.56182617,103611.979256111,99313.9837055504,257679.472289062,598870.36041667
"M121T432",121.071844452769,121.07179949623,121.071955086344,431.6255,429.799,442.333,16,15,86870.0201609135,183349.581877983,251683.981291233,188399.681157991,733060.252907717,196421.445142288,178956.863868603,310871.729211458,289053.130660156,546797.199702474,316736.591105958,265325.812334472,741634.173979817,203637.629540154,250617.761499025,495265.619373697,435526.849822331,207792.387248235,212658.740595562,743461.127582685,492344.006531739,158263.241115968,170351.951326792,279451.421050429,292812.556787498,62795.4108729772,38876.8912962278,180511.600636394,357844.455126302
"M121T489_2",121.077612192265,121.077553235248,121.077651529,488.625,486.801,490.332,26,26,218401.48160415,7653728.93373226,16490038.1335557,23052115.6256531,14501868.6131895,8770800.11940343,25291376.6301249,12407798.9923828,13861639.8346385,23857722.2428933,16366517.9206937,15656780.3458038,15579428.0368149,13027752.8685369,48165007.4136984,15971055.4198562,17186565.0583125,11146348.174543,15903511.9059375,17250034.577,14631087.3768832,9781387.37704545,60220523.6644378,17274982.2704039,19094135.445913,752321.254991796,53675.236422973,5963927.69845832,9454723.26446612
"M121T99",121.100956688687,121.100890158843,121.101064732419,98.9297,95.3728,115.374,31,19,441524.667743938,1853025.43659969,1309365.53046563,3864695.45075687,2302468.22299922,3026237.47673438,2287400.29907343,2053568.74954893,1857651.48483787,2888155.52370052,1873974.86974779,1426836.79578125,3470758.87774777,2063801.67810294,3229388.09210858,1365435.1960612,2337293.29089491,964917.461744173,1468548.40836773,3624952.22685135,4470785.28019995,1180987.941,1948603.07718377,2219146.29486966,1968719.38543628,4314445.25683894,50500.6930304281,2297987.64225059,1178350.56828128
"M122T664",122.069594419335,122.069451753653,122.069624260851,663.586,660.431,664.836,18,18,6585178.75275476,368270.938133791,4525393.16428208,864110.534477984,835933.315994144,10748613.9749565,689331.90134397,5255717.15726495,865104.600951606,2098253.78255209,365918.63674219,946064.080319723,863661.559322543,7992077.69395494,1726644.02560548,5046695.18979406,1157627.31584131,847197.815331814,6324234.11707984,1204785.8071289,1111454.12221563,691200.243777698,2585781.44969075,5232076.210217,1431138.36909938,6431343.92736223,5318057.78687439,247132.94656771,6635543.98852076
"M122T765",122.081001336345,122.080888289345,122.081054302519,764.9615,747.442,770.1,30,29,9807523.15640624,78357316.9591123,29224666.744781,53892657.9554997,52193050.8626253,58566623.1360005,58836878.1602878,37603686.4824997,63236766.9271664,46928434.3772999,80499779.0226003,59251698.3947625,51845393.0762941,74489788.8161753,209978564.732591,31835220.0549998,64338749.7069002,59901749.2016806,26315853.8330728,51886460.3141111,52800986.8855249,56684399.4062502,51976167.5007998,64859882.1997495,111389970.232426,47645374.4290606,11423284.8501528,45947697.4222777,58024486.2296873
